date,Open,High,Low,Close,Volume
2018-03-01,6.05,6.1,5.7,5.81,"1,040,118,830"
2018-03-02,5.7,5.92,5.55,5.91,"913,427,551"
2018-03-05,5.86,5.93,5.74,5.89,"620,776,394"
2018-03-06,5.98,6.07,5.93,6.05,"636,809,594"
2018-03-07,5.95,6.1,5.95,6.05,"581,209,234"
2018-03-08,6.07,6.07,5.98,6.03,"411,910,396"
2018-03-09,6.08,6.15,6.06,6.13,"505,525,995"
2018-03-12,6.18,6.33,6.17,6.24,"605,061,554"
2018-03-13,6.29,6.36,6.15,6.19,"619,772,434"
2018-03-14,6.24,6.26,6.16,6.22,"505,494,395"
2018-03-15,6.23,6.32,6.19,6.23,"401,953,596"
2018-03-16,6.25,6.28,6.21,6.26,"399,457,276"
2018-03-19,6.2,6.23,5.93,6.03,"713,773,593"
2018-03-20,6.03,6.28,6.03,6.24,"554,696,394"
2018-03-21,6.23,6.3,6.18,6.21,"438,688,796"
2018-03-22,6.15,6.2,6.01,6.05,"551,196,794"
2018-03-23,6.06,6.07,5.81,5.82,"735,618,433"
2018-03-26,5.95,6.11,5.9,6.11,"611,425,594"
2018-03-27,6.19,6.25,5.5,5.64,"1,409,000,306"
2018-03-28,5.6,5.73,5.43,5.53,"945,905,991"
2018-03-29,5.6,5.89,5.52,5.79,"916,627,551"
2018-04-02,5.72,5.87,5.44,5.53,"922,092,791"
2018-04-03,5.7,5.76,5.53,5.63,"667,430,393"
2018-04-04,5.38,5.67,5.35,5.66,"789,166,392"
2018-04-05,5.72,5.73,5.46,5.53,"701,238,833"
2018-04-06,5.43,5.54,5.33,5.36,"662,988,833"
2018-04-09,5.42,5.55,5.37,5.39,"499,524,795"
2018-04-10,5.62,5.73,5.56,5.7,"764,752,432"
2018-04-11,5.68,5.72,5.62,5.66,"460,242,395"
2018-04-12,5.75,5.88,5.71,5.87,"593,918,034"
2018-04-13,5.93,5.94,5.74,5.79,"503,035,595"
2018-04-16,5.79,5.82,5.69,5.79,"350,791,036"
2018-04-17,5.84,5.96,5.78,5.94,"447,225,596"
2018-04-18,5.89,5.98,5.82,5.91,"391,362,316"
2018-04-19,5.79,5.83,5.67,5.73,"471,997,195"
2018-04-20,5.72,5.8,5.69,5.72,"386,198,636"
2018-04-23,5.74,5.79,5.57,5.6,"427,508,796"
2018-04-24,5.62,5.72,5.46,5.53,"414,595,596"
2018-04-25,5.5,5.54,5.26,5.42,"588,493,554"
2018-04-26,5.58,5.64,5.51,5.63,"375,822,956"
2018-04-27,5.74,5.76,5.62,5.66,"400,849,996"
2018-04-30,5.67,5.73,5.6,5.62,"327,842,677"
2018-05-01,5.61,5.68,5.56,5.68,"253,789,077"
2018-05-02,5.68,5.72,5.63,5.66,"268,247,397"
2018-05-03,5.69,5.85,5.64,5.82,"443,145,596"
2018-05-04,5.8,5.98,5.78,5.98,"400,661,596"
2018-05-07,6.08,6.27,6.07,6.22,"687,615,233"
2018-05-08,6.22,6.26,6.17,6.26,"506,614,795"
2018-05-09,6.28,6.4,6.25,6.39,"596,759,154"
2018-05-10,6.45,6.51,6.43,6.5,"994,081,150"
2018-05-11,6.32,6.49,6.26,6.36,"1,214,456,308"
2018-05-14,6.4,6.46,6.36,6.38,"523,139,195"
2018-05-15,6.32,6.32,6.04,6.14,"963,528,430"
2018-05-16,6.1,6.21,6.06,6.15,"553,828,434"
2018-05-17,6.15,6.29,6.14,6.19,"519,784,395"
2018-05-18,6.25,6.31,6.14,6.15,"483,717,595"
2018-05-21,6.25,6.25,6.01,6.11,"640,624,754"
2018-05-22,6.12,6.14,6.01,6.07,"518,265,595"
2018-05-23,6.01,6.19,6.01,6.19,"442,957,196"
2018-05-24,6.18,6.24,6.13,6.19,"437,371,996"
2018-05-25,6.21,6.25,6.17,6.23,"292,111,277"
2018-05-29,6.21,6.28,6.17,6.21,"352,683,316"
2018-05-30,6.25,6.33,6.22,6.32,"390,994,556"
2018-05-31,6.29,6.38,6.28,6.3,"493,868,395"
2018-06-01,6.35,6.45,6.34,6.44,"421,969,996"
2018-06-04,6.48,6.64,6.44,6.62,"642,025,594"
2018-06-05,6.62,6.66,6.58,6.63,"391,712,036"
2018-06-06,6.54,6.63,6.52,6.63,"371,354,236"
2018-06-07,6.63,6.64,6.48,6.57,"369,448,636"
2018-06-08,6.5,6.6,6.48,6.56,"360,457,716"
2018-06-11,6.54,6.59,6.5,6.52,"265,370,117"
2018-06-12,6.54,6.58,6.49,6.56,"319,159,397"
2018-06-13,6.57,6.64,6.55,6.56,"338,206,357"
2018-06-14,6.61,6.73,6.59,6.67,"430,016,396"
2018-06-15,6.62,6.69,6.58,6.63,"432,259,596"
2018-06-18,6.59,6.65,6.56,6.63,"356,266,956"
2018-06-19,6.52,6.59,6.38,6.5,"594,932,794"
2018-06-20,6.55,6.61,6.51,6.56,"369,779,756"
2018-06-21,6.59,6.61,6.42,6.43,"359,516,236"
2018-06-22,6.45,6.46,6.26,6.27,"434,157,996"
2018-06-25,6.17,6.17,5.89,5.98,"665,817,273"
2018-06-26,6.09,6.14,6.0,6.05,"478,885,595"
2018-06-27,6.09,6.16,5.89,5.89,"453,891,995"
2018-06-28,5.88,6.03,5.88,6.02,"338,011,877"
2018-06-29,6.09,6.1,5.92,5.92,"392,299,076"
2018-07-02,5.85,6.06,5.83,6.06,"357,573,916"
2018-07-03,6.09,6.1,5.91,5.92,"222,732,998"
2018-07-05,5.98,6.07,5.94,6.07,"306,217,917"
2018-07-06,6.04,6.19,6.02,6.18,"296,352,837"
2018-07-09,6.26,6.27,6.15,6.23,"303,880,837"
2018-07-10,6.24,6.35,6.2,6.33,"360,015,596"
2018-07-11,6.24,6.27,6.18,6.19,"367,506,396"
2018-07-12,6.23,6.33,6.22,6.28,"345,506,917"
2018-07-13,6.3,6.3,6.19,6.23,"247,163,118"
2018-07-16,6.21,6.26,6.19,6.21,"197,037,038"
2018-07-17,6.16,6.36,6.13,6.34,"362,135,796"
2018-07-18,6.33,6.35,6.24,6.29,"277,641,637"
2018-07-19,6.27,6.33,6.26,6.3,"235,751,318"
2018-07-20,6.3,6.34,6.26,6.27,"222,486,438"
2018-07-23,6.25,6.25,6.08,6.24,"301,584,837"
2018-07-24,6.28,6.37,6.2,6.22,"354,621,796"
2018-07-25,6.23,6.31,6.17,6.3,"320,182,037"
2018-07-26,6.28,6.41,6.26,6.37,"325,125,117"
